Quantity,Price,Side,Time
0.00011,30330.42,SELL,1688768524360
0.00011,30319.989999999998,BUY,1688768584771
0.00011,30385.82,SELL,1688768585157
0.00011,30320.3,BUY,1688768645556
0.00011,30351.89,SELL,1688768645931
0.00011,30320.31,BUY,1688768761846
0.00011,30319.69,BUY,1688768942683
0.00011,30321.76,SELL,1688768942923
0.00011,30316.75,BUY,1688769069833
0.00011,30304.01,SELL,1688769070225
0.00011,30324.989999999998,BUY,1688769242486
0.00011,30352.37,SELL,1688769242991
0.00011,30309.96,BUY,1688769481075
0.00011,30307.75,SELL,1688769481448
0.0001,30287.95,SELL,1688769701015
0.0001,30263.44,BUY,1688769701248
0.00011,30305.62,BUY,1688769842187
0.00011,30302.78,SELL,1688769842422
0.00011,30299.99,BUY,1688769902781
0.00011,30309.98,SELL,1688769903144
0.00011,30314.989999999998,BUY,1688770142426
0.00011,30319.54,SELL,1688770142802
0.00011,30314.989999999998,BUY,1688770203133
0.00011,30316.05,SELL,1688770203358
0.00011,30314.999999999996,BUY,1688770263571
0.00011,30348.36,SELL,1688770264071
0.00011,30316.85,BUY,1688770381406
0.00011,30317.04,SELL,1688770381774
0.00011,30333.31,BUY,1688770442229
0.00011,30333.12,BUY,1688770502667
0.00011,30398.48,SELL,1688770503035
0.00011,30339.94,BUY,1688770563399
0.00011,30363.52,SELL,1688770563633
0.0001,30314.99,BUY,1688770794356
0.0001,30290.55,SELL,1688770794771
0.0001,30309.989999999998,BUY,1688770855398
0.0001,30347.2,SELL,1688770855642
0.0001,30324.989999999998,BUY,1688771041205
0.0001,30364.25,SELL,1688771041576
0.0001,30324.989999999998,BUY,1688771102177
0.0001,30335.38,SELL,1688771102530
0.0001,30324.97,BUY,1688771162935
0.0001,30370.41,SELL,1688771163167
0.0001,30319.989999999998,BUY,1688771223768
0.0001,30382.55,SELL,1688771224139
0.0001,30345.829999999998,BUY,1688771462923
0.0001,30346.86,BUY,1688771523588
0.0001,30396.94,SELL,1688771524009
0.0001,30349.989999999998,BUY,1688771584372
0.0001,30363.02,SELL,1688771584766
0.0001,30350.399999999998,BUY,1688771645536
0.0001,30376.68,SELL,1688771645763
0.0001,30354.99,BUY,1688771706267
0.0001,30376.49,SELL,1688771706637
0.0001,30354.99,BUY,1688771767314
0.0001,30368.87,SELL,1688771767804
0.0001,30355.56,BUY,1688771828461
0.0001,30383.82,SELL,1688771828856
